Orthogroup	UP000321408	UP000324665
OG0000000	QEE14659.1, QEE16105.1, QEE16739.1	TXT53919.1, TXT54104.1, TXT54244.1, TXT54314.1, TXT54315.1, TXT54316.1, TXT54350.1, TXT54505.1, TXT54517.1, TXT54571.1, TXT54597.1, TXT54617.1, TXT54619.1, TXT54830.1, TXT54914.1, TXT55128.1, TXT55258.1, TXT55311.1, TXT55312.1, TXT55313.1, TXT55332.1, TXT55419.1, TXT55420.1, TXT55421.1, TXT55454.1, TXT55664.1, TXT55965.1, TXT56113.1, TXT57402.1, TXT57554.1, TXT57565.1, TXT57566.1, TXT57828.1, TXT57832.1, TXT57861.1
OG0000001		TXT53760.1, TXT53930.1, TXT54212.1, TXT54221.1, TXT54238.1, TXT54239.1, TXT54240.1, TXT54250.1, TXT54254.1, TXT54391.1, TXT54540.1, TXT54552.1, TXT54575.1, TXT54642.1, TXT54837.1, TXT55265.1, TXT55379.1, TXT55393.1, TXT55652.1, TXT55693.1, TXT55704.1, TXT55974.1, TXT55975.1, TXT56017.1, TXT56087.1, TXT57506.1, TXT57530.1, TXT57630.1, TXT57732.1, TXT57835.1
OG0000002	QEE14278.1, QEE14371.1, QEE14403.1, QEE15018.1, QEE15508.1, QEE15509.1, QEE15533.1, QEE15589.1, QEE16109.1, QEE16139.1, QEE16215.1, QEE16389.1, QEE16756.1, QEE16792.1, QEE16942.1, QEE17074.1, QEE17167.1, QEE17400.1, QEE17403.1, QEE17630.1, QEE17838.1, QEE17876.1, QEE18069.1	TXT55284.1
OG0000003	QEE14788.1, QEE14791.1, QEE14972.1, QEE15186.1, QEE15420.1, QEE15434.1, QEE15680.1, QEE15690.1, QEE15752.1, QEE15776.1, QEE15797.1, QEE15827.1, QEE16134.1, QEE16135.1, QEE16349.1, QEE16482.1, QEE16519.1, QEE16549.1, QEE17133.1, QEE17137.1, QEE17321.1, QEE17646.1, QEE17986.1	
OG0000004	QEE14785.1, QEE14947.1, QEE15034.1, QEE15107.1, QEE15329.1, QEE15831.1, QEE16238.1, QEE16239.1, QEE16479.1, QEE16481.1, QEE16489.1, QEE16604.1, QEE16620.1, QEE17895.1, QEE18017.1	
OG0000005	QEE14370.1, QEE15022.1, QEE15032.1, QEE15695.1, QEE16125.1, QEE16198.1, QEE17614.1, QEE17619.1, QEE17800.1, QEE17924.1, QEE17999.1, QEE18107.1	
OG0000006	QEE16583.1	TXT54543.1, TXT54813.1, TXT55185.1, TXT55655.1, TXT55792.1, TXT55908.1, TXT56088.1, TXT56662.1, TXT57329.1, TXT57450.1, TXT57452.1
OG0000007	QEE14392.1, QEE14598.1, QEE14617.1, QEE15108.1, QEE15627.1, QEE15881.1, QEE16829.1, QEE17083.1, QEE17622.1, QEE17623.1, QEE17722.1	
OG0000008	QEE14507.1, QEE14547.1, QEE16343.1, QEE16416.1, QEE16484.1, QEE16651.1, QEE16794.1, QEE16871.1, QEE17711.1, QEE18011.1	TXT55306.1
OG0000009	QEE14731.1, QEE15071.1, QEE15281.1, QEE15455.1, QEE15494.1, QEE15614.1, QEE15617.1, QEE16762.1, QEE17221.1, QEE17893.1	TXT55326.1
OG0000010	QEE14878.1, QEE15200.1	TXT53838.1, TXT54355.1, TXT55123.1, TXT55125.1, TXT55752.1, TXT57701.1, TXT57824.1, TXT57892.1, TXT57894.1
OG0000011	QEE15412.1	TXT54805.1, TXT55372.1, TXT55429.1, TXT55439.1, TXT55968.1, TXT56000.1, TXT56091.1, TXT57328.1, TXT57790.1, TXT57791.1
OG0000012	QEE14229.1, QEE14230.1, QEE15137.1, QEE16378.1, QEE17042.1, QEE17043.1, QEE17349.1, QEE17431.1, QEE18054.1	
OG0000013	QEE14240.1, QEE14994.1, QEE15581.1, QEE16059.1, QEE16190.1, QEE16668.1, QEE17355.1, QEE17372.1, QEE17492.1	
OG0000014	QEE14649.1, QEE15245.1, QEE15585.1, QEE16104.1, QEE16289.1, QEE16825.1, QEE16850.1, QEE17835.1	TXT54301.1
OG0000015	QEE16133.1, QEE16295.1	TXT54308.1, TXT54949.1, TXT57552.1, TXT57555.1, TXT57638.1, TXT57856.1, TXT57939.1
OG0000016	QEE14342.1, QEE14810.1, QEE15759.1, QEE15764.1, QEE16026.1, QEE16931.1, QEE17222.1, QEE17656.1	
OG0000017	QEE14423.1, QEE14893.1, QEE15230.1, QEE15540.1, QEE16161.1, QEE16554.1, QEE17135.1, QEE17254.1	
OG0000018	QEE14520.1, QEE14665.1, QEE15011.1, QEE15173.1, QEE16360.1, QEE16902.1, QEE16908.1	TXT56448.1
OG0000019	QEE14652.1, QEE15571.1, QEE15735.1, QEE16117.1, QEE16455.1, QEE17922.1, QEE18082.1, QEE18086.1	
OG0000020	QEE14984.1, QEE15114.1, QEE15215.1, QEE15216.1, QEE15648.1, QEE16701.1, QEE17327.1	TXT57337.1
OG0000021	QEE15007.1, QEE15286.1, QEE15290.1, QEE16276.1, QEE16745.1, QEE16811.1, QEE16812.1, QEE17200.1	
OG0000022	QEE15220.1, QEE15307.1, QEE15907.1, QEE16616.1, QEE16619.1, QEE16929.1, QEE17161.1, QEE17313.1	
OG0000023	QEE15500.1, QEE15706.1, QEE16302.1, QEE16799.1, QEE17130.1, QEE17427.1, QEE18049.1	TXT54596.1
OG0000024		TXT53558.1, TXT54373.1, TXT54516.1, TXT54572.1, TXT54621.1, TXT55675.1, TXT55787.1, TXT56548.1
OG0000025	QEE14193.1, QEE14194.1, QEE14195.1, QEE14414.1, QEE14415.1, QEE14416.1, QEE14521.1	
OG0000026	QEE14323.1, QEE14406.1, QEE17342.1, QEE17569.1, QEE17976.1, QEE18079.1, QEE18080.1	
OG0000027	QEE14397.1, QEE15953.1, QEE16100.1, QEE16990.1, QEE17527.1, QEE17996.1, QEE18081.1	
OG0000028	QEE14524.1, QEE14629.1	TXT53940.1, TXT54393.1, TXT54824.1, TXT54834.1, TXT57369.1
OG0000029	QEE14770.1	TXT54767.1, TXT54790.1, TXT54791.1, TXT55250.1, TXT55251.1, TXT57720.1
OG0000030	QEE14784.1, QEE17275.1	TXT54135.1, TXT55319.1, TXT55735.1, TXT57339.1, TXT57488.1
OG0000031	QEE14842.1, QEE15857.1, QEE16448.1, QEE17892.1	TXT53717.1, TXT54828.1, TXT57657.1
OG0000032	QEE15040.1, QEE17286.1, QEE17330.1	TXT54105.1, TXT55142.1, TXT55369.1, TXT56531.1
OG0000033	QEE15085.1, QEE15086.1, QEE15746.1, QEE15934.1, QEE16165.1, QEE17037.1, QEE17483.1	
OG0000034	QEE15745.1, QEE16107.1, QEE16108.1, QEE17012.1, QEE17320.1, QEE17323.1	TXT54410.1
OG0000035	QEE15963.1, QEE17106.1, QEE17350.1, QEE17351.1, QEE17580.1, QEE17685.1, QEE17806.1	
OG0000036	QEE16643.1, QEE17944.1	TXT53747.1, TXT54217.1, TXT57356.1, TXT57597.1, TXT57932.1
OG0000037	QEE17264.1, QEE17632.1, QEE17633.1	TXT54208.1, TXT54211.1, TXT57410.1, TXT57411.1
OG0000038		TXT53866.1, TXT53966.1, TXT55132.1, TXT55279.1, TXT56613.1, TXT57309.1, TXT57515.1
OG0000039		TXT54904.1, TXT54905.1, TXT54906.1, TXT55636.1, TXT55637.1, TXT55638.1, TXT55639.1
OG0000040	QEE14233.1, QEE14398.1, QEE14624.1, QEE17519.1, QEE17521.1, QEE17522.1	
OG0000041	QEE14279.1, QEE14405.1, QEE14436.1, QEE15178.1, QEE15945.1, QEE15946.1	
OG0000042	QEE14396.1, QEE16753.1, QEE17417.1, QEE17598.1, QEE17644.1	TXT55650.1
OG0000043	QEE14421.1, QEE14815.1, QEE15089.1, QEE15505.1, QEE16391.1	TXT56526.1
OG0000044	QEE14528.1, QEE14529.1, QEE15916.1, QEE16596.1, QEE16597.1	TXT54962.1
OG0000045	QEE14557.1, QEE14558.1, QEE14559.1, QEE14560.1, QEE14561.1, QEE14562.1	
OG0000046	QEE14883.1, QEE15435.1, QEE16786.1, QEE16932.1, QEE17949.1, QEE18090.1	
OG0000047	QEE14971.1, QEE15000.1, QEE15001.1, QEE15775.1, QEE16483.1, QEE17511.1	
OG0000048	QEE15044.1, QEE16848.1, QEE17297.1, QEE17923.1	TXT56469.1, TXT56949.1
OG0000049	QEE15102.1	TXT54553.1, TXT57585.1, TXT57588.1, TXT57591.1, TXT57907.1
OG0000050	QEE15145.1, QEE15470.1, QEE17178.1	TXT55378.1, TXT57459.1, TXT57466.1
OG0000051	QEE15228.1, QEE15549.1, QEE15854.1, QEE17399.1, QEE17479.1, QEE18093.1	
OG0000052	QEE15269.1	TXT55381.1, TXT56738.1, TXT56847.1, TXT57521.1, TXT57605.1
OG0000053	QEE15382.1	TXT53741.1, TXT54136.1, TXT54512.1, TXT54963.1, TXT55166.1
OG0000054	QEE15472.1, QEE15521.1, QEE15525.1, QEE16191.1, QEE17382.1	TXT54241.1
OG0000055	QEE15545.1	TXT54534.1, TXT55171.1, TXT56671.1, TXT56673.1, TXT56735.1
OG0000056	QEE15565.1, QEE15998.1	TXT55180.1, TXT55811.1, TXT55925.1, TXT57307.1
OG0000057	QEE15582.1, QEE16083.1, QEE17595.1	TXT54942.1, TXT57481.1, TXT57677.1
OG0000058	QEE15756.1, QEE17256.1, QEE17635.1	TXT57326.1, TXT57404.1, TXT57405.1
OG0000059	QEE16086.1, QEE16592.1, QEE16634.1, QEE17195.1, QEE17202.1, QEE17733.1	
OG0000060	QEE16087.1	TXT53862.1, TXT54568.1, TXT56109.1, TXT57600.1, TXT57906.1
OG0000061	QEE16281.1, QEE17019.1	TXT55960.1, TXT55961.1, TXT56428.1, TXT56429.1
OG0000062	QEE16299.1, QEE16330.1, QEE17406.1, QEE17407.1, QEE17734.1, QEE17776.1	
OG0000063	QEE16582.1	TXT54542.1, TXT54812.1, TXT55186.1, TXT55791.1, TXT56089.1
OG0000064	QEE16746.1, QEE18019.1	TXT54201.1, TXT54938.1, TXT55856.1, TXT57651.1
OG0000065	QEE16785.1, QEE16787.1, QEE16814.1, QEE17542.1, QEE17809.1, QEE17814.1	
OG0000066	QEE17065.1, QEE17080.1, QEE17334.1, QEE17836.1	TXT56048.1, TXT57626.1
OG0000067		TXT53746.1, TXT54129.1, TXT55826.1, TXT56001.1, TXT56090.1, TXT57053.1
OG0000068		TXT54395.1, TXT54397.1, TXT55778.1, TXT55779.1, TXT56535.1, TXT57437.1
OG0000069		TXT54870.1, TXT54873.1, TXT54880.1, TXT54885.1, TXT54944.1, TXT55800.1
OG0000070	QEE14207.1	TXT55266.1, TXT57062.1, TXT57831.1, TXT57941.1
OG0000071	QEE14287.1, QEE14946.1, QEE17353.1, QEE17643.1, QEE17715.1	
OG0000072	QEE14312.1, QEE16715.1, QEE16728.1, QEE16731.1, QEE17251.1	
OG0000073	QEE14325.1, QEE16682.1, QEE16914.1, QEE17061.1, QEE17107.1	
OG0000074	QEE14425.1	TXT53839.1, TXT54235.1, TXT56024.1, TXT56092.1
OG0000075	QEE14443.1, QEE14447.1, QEE14693.1, QEE15751.1, QEE15844.1	
OG0000076	QEE14590.1, QEE17376.1	TXT54840.1, TXT55161.1, TXT57536.1
OG0000077	QEE14610.1, QEE15493.1, QEE15514.1, QEE15516.1, QEE17941.1	
OG0000078	QEE14623.1	TXT55929.1, TXT55985.1, TXT56049.1, TXT57464.1
OG0000079	QEE14674.1, QEE18065.1	TXT55146.1, TXT57043.1, TXT57942.1
OG0000080	QEE14713.1, QEE14949.1	TXT54854.1, TXT55222.1, TXT57872.1
OG0000081	QEE14744.1, QEE16917.1, QEE16918.1, QEE17624.1	TXT57825.1
OG0000082	QEE14748.1, QEE16766.1, QEE17926.1, QEE18018.1, QEE18112.1	
OG0000083	QEE14774.1	TXT53987.1, TXT55447.1, TXT55967.1, TXT56877.1
OG0000084	QEE14799.1, QEE15217.1, QEE15271.1, QEE15416.1, QEE15862.1	
OG0000085	QEE15048.1, QEE15433.1, QEE15935.1, QEE16517.1, QEE16707.1	
OG0000086	QEE15087.1	TXT54831.1, TXT55144.1, TXT56451.1, TXT57761.1
OG0000087	QEE15120.1, QEE15138.1, QEE16150.1, QEE16730.1, QEE17356.1	
OG0000088	QEE15127.1, QEE15919.1, QEE16486.1, QEE17586.1, QEE17687.1	
OG0000089	QEE15163.1, QEE16884.1	TXT53666.1, TXT56743.1, TXT57754.1
OG0000090	QEE15207.1, QEE16939.1, QEE17218.1, QEE17651.1, QEE18000.1	
OG0000091	QEE15235.1, QEE15236.1, QEE15709.1, QEE16865.1, QEE18132.1	
OG0000092	QEE15306.1, QEE17003.1	TXT54198.1, TXT55124.1, TXT55223.1
OG0000093	QEE15349.1	TXT53727.1, TXT56659.1, TXT57351.1, TXT57420.1
OG0000094	QEE15661.1, QEE16900.1, QEE17913.1	TXT54763.1, TXT54796.1
OG0000095	QEE15721.1, QEE16236.1	TXT55121.1, TXT57579.1, TXT57723.1
OG0000096	QEE15722.1, QEE16237.1	TXT55122.1, TXT57578.1, TXT57722.1
OG0000097	QEE15836.1, QEE17002.1	TXT54210.1, TXT54550.1, TXT55315.1
OG0000098	QEE15918.1, QEE17584.1, QEE17587.1	TXT53861.1, TXT56786.1
OG0000099	QEE15951.1, QEE17031.1	TXT54101.1, TXT54351.1, TXT55810.1
OG0000100	QEE15952.1, QEE16206.1	TXT54766.1, TXT56987.1, TXT56988.1
OG0000101	QEE16032.1, QEE18089.1	TXT55414.1, TXT56774.1, TXT57915.1
OG0000102	QEE16102.1, QEE16159.1, QEE16732.1, QEE17054.1, QEE17444.1	
OG0000103	QEE16147.1, QEE17346.1	TXT55825.1, TXT56124.1, TXT57781.1
OG0000104	QEE16248.1, QEE16321.1, QEE17435.1, QEE17550.1, QEE17727.1	
OG0000105	QEE16265.1	TXT54068.1, TXT54072.1, TXT54076.1, TXT57586.1
OG0000106	QEE16384.1	TXT56095.1, TXT56645.1, TXT57604.1, TXT57615.1
OG0000107	QEE16613.1, QEE16621.1, QEE16628.1, QEE16740.1	TXT57757.1
OG0000108	QEE16970.1	TXT53638.1, TXT54825.1, TXT54835.1, TXT57370.1
OG0000109	QEE16999.1, QEE17314.1	TXT55120.1, TXT56056.1, TXT57836.1
OG0000110	QEE17064.1, QEE17079.1, QEE17335.1, QEE17837.1	TXT56047.1
OG0000111	QEE17066.1, QEE17333.1	TXT54584.1, TXT54664.1, TXT55281.1
OG0000112	QEE17436.1	TXT54099.1, TXT55667.1, TXT55668.1, TXT56115.1
OG0000113	QEE17909.1	TXT55165.1, TXT55232.1, TXT55243.1, TXT56733.1
OG0000114		TXT53758.1, TXT53968.1, TXT53969.1, TXT57514.1, TXT57733.1
OG0000115		TXT53843.1, TXT54384.1, TXT54585.1, TXT54654.1, TXT55839.1
OG0000116		TXT54095.1, TXT54600.1, TXT54601.1, TXT54603.1, TXT57864.1
OG0000117		TXT54098.1, TXT55277.1, TXT56045.1, TXT57349.1, TXT57622.1
OG0000118		TXT54515.1, TXT54794.1, TXT57817.1, TXT57818.1, TXT57819.1
OG0000119		TXT54549.1, TXT56126.1, TXT57368.1, TXT57538.1, TXT57912.1
OG0000120		TXT54637.1, TXT54638.1, TXT55092.1, TXT57303.1, TXT57335.1
OG0000121		TXT55248.1, TXT55899.1, TXT57897.1, TXT57921.1, TXT57922.1
OG0000122	QEE14260.1, QEE16292.1	TXT55858.1, TXT56905.1
OG0000123	QEE14275.1, QEE17045.1, QEE17046.1	TXT55711.1
OG0000124	QEE14296.1, QEE17856.1, QEE17920.1	TXT54551.1
OG0000125	QEE14347.1, QEE15072.1, QEE16478.1	TXT55784.1
OG0000126	QEE14351.1	TXT55631.1, TXT56640.1, TXT57475.1
OG0000127	QEE14375.1, QEE15061.1, QEE17967.1	TXT57540.1
OG0000128	QEE14384.1, QEE15319.1, QEE17606.1	TXT56667.1
OG0000129	QEE14434.1, QEE17230.1, QEE17361.1, QEE17362.1	
OG0000130	QEE14435.1, QEE17229.1, QEE17363.1	TXT54365.1
OG0000131	QEE14437.1, QEE14536.1, QEE16399.1, QEE16691.1	
OG0000132	QEE14491.1, QEE15277.1, QEE16840.1, QEE17170.1	
OG0000133	QEE14493.1, QEE16073.1, QEE16773.1	TXT55093.1
OG0000134	QEE14498.1, QEE15056.1, QEE16661.1, QEE17354.1	
OG0000135	QEE14544.1, QEE14930.1	TXT54656.1, TXT55771.1
OG0000136	QEE14545.1, QEE17258.1, QEE17637.1, QEE17682.1	
OG0000137	QEE14556.1, QEE15314.1, QEE15326.1, QEE18121.1	
OG0000138	QEE14599.1, QEE15154.1	TXT55906.1, TXT57839.1
OG0000139	QEE14600.1, QEE16193.1, QEE16744.1	TXT57041.1
OG0000140	QEE14607.1, QEE16345.1, QEE16699.1, QEE17612.1	
OG0000141	QEE14608.1, QEE15845.1, QEE15847.1	TXT53748.1
OG0000142	QEE14633.1, QEE14634.1, QEE15037.1, QEE15038.1	
OG0000143	QEE14675.1, QEE14676.1, QEE14677.1, QEE14678.1	
OG0000144	QEE14689.1, QEE15272.1, QEE17348.1, QEE17560.1	
OG0000145	QEE14691.1	TXT53560.1, TXT55273.1, TXT55730.1
OG0000146	QEE14703.1, QEE14704.1, QEE16451.1, QEE17903.1	
OG0000147	QEE14816.1, QEE15019.1, QEE16096.1, QEE17672.1	
OG0000148	QEE14864.1, QEE16090.1, QEE17078.1, QEE17177.1	
OG0000149	QEE14880.1, QEE17437.1, QEE17696.1	TXT57776.1
OG0000150	QEE14936.1, QEE16201.1, QEE17506.1	TXT54631.1
OG0000151	QEE14945.1, QEE16127.1	TXT53824.1, TXT57760.1
OG0000152	QEE14969.1, QEE15240.1, QEE17750.1	TXT57556.1
OG0000153	QEE15045.1, QEE16450.1, QEE17129.1, QEE17470.1	
OG0000154	QEE15133.1, QEE15652.1, QEE17026.1	TXT53991.1
OG0000155	QEE15206.1	TXT55151.1, TXT57017.1, TXT57919.1
OG0000156	QEE15211.1, QEE16544.1, QEE17853.1	TXT54663.1
OG0000157	QEE15232.1, QEE17272.1	TXT54541.1, TXT55187.1
OG0000158	QEE15285.1, QEE15837.1, QEE17912.1	TXT57750.1
OG0000159	QEE15303.1, QEE17613.1	TXT54204.1, TXT55200.1
OG0000160	QEE15328.1, QEE16007.1, QEE16889.1	TXT56614.1
OG0000161	QEE15334.1, QEE16595.1, QEE17073.1	TXT56677.1
OG0000162	QEE15338.1, QEE15553.1, QEE17063.1, QEE17690.1	
OG0000163	QEE15397.1, QEE16014.1, QEE16227.1	TXT57545.1
OG0000164	QEE15460.1, QEE17315.1	TXT57482.1, TXT57899.1
OG0000165	QEE15468.1	TXT54346.1, TXT55909.1, TXT56663.1
OG0000166	QEE15471.1, QEE17244.1, QEE17395.1, QEE17419.1	
OG0000167	QEE15475.1, QEE17040.1, QEE17269.1	TXT55922.1
OG0000168	QEE15517.1, QEE16252.1	TXT54248.1, TXT54507.1
OG0000169	QEE15603.1, QEE16772.1, QEE17101.1, QEE17397.1	
OG0000170	QEE15612.1, QEE16030.1, QEE16496.1, QEE17143.1	
OG0000171	QEE15658.1, QEE15659.1, QEE17979.1	TXT56116.1
OG0000172	QEE15701.1	TXT55767.1, TXT55942.1, TXT56603.1
OG0000173	QEE15703.1	TXT55425.1, TXT56883.1, TXT57746.1
OG0000174	QEE15762.1	TXT53823.1, TXT54616.1, TXT57047.1
OG0000175	QEE15817.1	TXT55196.1, TXT57885.1, TXT57886.1
OG0000176	QEE15822.1, QEE17499.1	TXT53959.1, TXT53960.1
OG0000177	QEE15852.1, QEE15853.1, QEE16520.1	TXT53722.1
OG0000178	QEE15856.1, QEE16263.1, QEE16553.1, QEE17960.1	
OG0000179	QEE15888.1	TXT54389.1, TXT57051.1, TXT57777.1
OG0000180	QEE15937.1, QEE16693.1	TXT55759.1, TXT56125.1
