UPID,Group
UP000186851,Odin
UP000760201,Loki 1
UP000625964,Loki 2
UP000318839,Loki 2
UP000317403,Loki 3
UP000315475,Loki 3
UP000318115,Loki 4
UP000321408,Loki 4
UP000322882,Loki 5
UP000320864,Loki 5
UP000322103,Loki 5
UP000738095,Loki 5
UP000315391,Loki 5
UP000323018,Loki 5
UP000315741,Loki 5
UP000318994,Loki 5
UP000320670,Loki 5
UP000319889,Loki 5
UP000317027,Loki 5
UP000317680,Loki 5
UP000777023,Loki 5
UP000771954,Loki 5
UP000319869,Loki 5
UP000826397,Loki 5
UP000826686,Loki 5
UP000317346,Loki 5
UP000315921,Loki 5
UP000729503,Loki 5
UP000317179,Loki 5
UP000538462,Loki 5
UP000696993,Loki 5
UP000751408,Loki 5
UP000186209,Heimdall 1
UP000228988,Heimdall 1
UP000186063,Heimdall 2
UP000245584,Heimdall 3
UP000825906,Heimdall 3
UP000826833,Heimdall 3
UP000775429,Heimdall 4
UP000186239,Heimdall 4
UP000634061,Heimdall 5
UP000279561,Heimdall 5
UP000721749,Heimdall 5
UP000317466,Heimdall 5
UP000700897,Heimdall 5
UP000610226,Heimdall 5
UP000678182,Thor
UP000619436,Thor
UP000319007,Thor
UP000324665,Thor
UP000621573,Thor
UP000319077,Thor
UP000320434,Thor
UP000274362,Thor
UP000556275,Thor
UP000266048,Thor
UP000265899,Thor
UP000645858,Thor
UP000825566,Thor
UP000706067,Thor
UP000070043,Thor
UP000185561,Thor
UP000070149,Thor
UP000070599,Thor
UP000320621,Thor
UP000320844,Thor
UP000266374,Thor
UP000723406,Thor