,Kingdom,Clade
I3455,2,1783272
I226,2,1224
I244,2,1783272
I952,2,1783270
I897,2,1224
I629,2,1224
I307,2,1783257
I801,2,1224
I2465,2,203691
I2997,2,1224
I3893,2,1783272
I4068,2,1224
I2760,2,1783272
I3059,2,1783272
I792,2,1224
I1530,2,1783272
I2128,2,1783272
I2540,2,1783272
I1711,2,32066
I1905,2,1783272
I2969,2,1783272
I457,2,1224
I1445,2,1783272
I3155,2,1783272
I3917,2,1783272
I4029,2,1224
I375,2,1224
I693,2,1783272
I455,2,1224
I3023,2,1783272
I345,2,1224
I2809,2,1224
I1769,2,1783272
I4044,2,1224
I3961,2,1783272
I3937,2,1783272
I290,2,1224
I936,2,1783272
I527,2,1224
I3078,2,203691
I3542,2,1783272
I2075,2,1783272
I3206,2,1783272
I1885,2,29547
I1254,2,1783272
I973,2,1224
I1303,2,1783272
I2085,2,32066
I4069,2,1224
I3255,2,1783270
I728,2,1224
I937,2,1783272
I3488,2,1224
I3678,2,1783272
I4002,2,1224
I2316,2,1783272
I2550,2,1783272
I3825,2,1783272
I844,2,1783257
I1464,2,1224
I2520,2,1783272
I2860,2,1783272
I820,2,1783272
I1742,2,1783272
I3382,2,1783272
I176,2,1224
I671,2,1783272
I3395,2,1783270
I1914,2,1783272
I2142,2,1783272
I77,2,1224
I3409,2,1783270
I3962,2,1224
I1301,2,1783272
I159,2,1224
I3156,2,1783272
I4062,2,1224
I270,2,1224
I778,2,1224
I3464,2,1783272
I2199,2,1224
I289,2,1224
I3941,2,1224
I1494,2,1783272
I4028,2,1224
I1987,2,1224
I3491,2,1224
I3665,2,1783272
I140,2,1224
I2123,2,1783272
I1600,2,1783272
I3545,2,1783272
I2922,2,1783272
I2958,2,1783272
I2603,2,1224
I2147,2,1783272
I504,2,1783270
I1968,2,1224
I1355,2,1783272
I652,2,1224
I1502,2,1783272
I463,2,1224
I2528,2,1783272
I2392,2,1224
I161,2,1224
I413,2,2138240
I2020,2,1783272
I1598,2,1783272
I1650,2,1783272
I957,2,1783270
I71,2,2138240
I3460,2,1783272
I1865,2,1783270
I3672,2,1783272
I2333,2,29547
I673,2,1783272
I842,2,1783272
I1192,2,1783272
I1537,2,1783270
I1542,2,203691
I1981,2,1224
I2324,2,1783272
I2378,2,1783257
I1270,2,1783270
I3242,2,1783270
I1525,2,1783272
I117,2,1224
I1257,2,1783272
I424,2,1224
I1297,2,1224
I3702,2,1783272
I482,2,1783272
I906,2,1783272
I1513,2,1783272
I261,2,1224
I2218,2,1783272
I4071,2,1224
I3371,2,1783272
I326,2,1224
I1931,2,29547
I295,2,1224
I505,2,49928
I2530,2,1783272
I3034,2,1783272
I3079,2,1783272
I2715,2,1783272
I1240,2,1224
I3496,2,1224
I553,2,1224
I838,2,1783272
I3822,2,1783272
I3580,2,1783272
I3519,2,1783272
I2300,2,1783272
I680,2,1224
I3394,2,1783270
I1876,2,200940
I3775,2,1783272
I2772,2,1783272
I3634,2,1783272
I2802,2,1224
I374,2,1224
I1776,2,1224
I3070,2,1783270
I3222,2,1783272
I118,2,29547
I723,2,1224
I1698,2,203691
I1425,2,1783272
I101,2,2138240
I1883,2,1783272
I2151,2,1783272
I808,2,1224
I2553,2,1783272
I2986,2,1224
I2028,2,1783272
I3101,2,1783272
I2732,2,1783272
I900,2,1783270
I2593,2,1224
I3108,2,1783272
I1516,2,1783272
I2243,2,1783272
I3703,2,1783272
I3635,2,1783272
I3890,2,1783272
I3281,2,1783272
I1247,2,1783272
I411,2,1224
I3005,2,1224
I80,2,1224
I351,2,1224
I2166,2,1224
I1889,2,32066
I2888,2,203691
I3500,2,1783272
I1975,2,1783272
I3268,2,1783272
I3878,2,1783272
I630,2,1224
I2145,2,1783272
I3261,2,1783272
I1457,2,1783272
I3102,2,1783272
I209,2,1224
I735,2,1224
I2949,2,1783272
I6,2,2138240
I1170,2,1783272
I1515,2,1783272
I1908,2,1783272
I3025,2,1783272
I507,2,1224
I3525,2,1783272
I2567,2,1783272
I1553,2,32066
I966,2,1224
I2691,2,1783270
I3037,2,1783272
I3737,2,1783272
I3994,2,1224
I759,2,1783257
I2340,2,1783272
I2981,2,1783272
I3208,2,1783272
I2203,2,1224
I754,2,1783272
I3805,2,1224
I3607,2,1224
I3307,2,1783272
I2646,2,1783272
I3617,2,1783272
I2135,2,1783272
I2902,2,1783270
I3349,2,1224
I115,2,1224
I3499,2,1783272
I3657,2,1783272
I3813,2,1783272
I1143,2,1783272
I2505,2,1783272
I2352,2,1783272
I3606,2,1224
I716,2,1224
I2595,2,1224
I3548,2,1783272
I2735,2,1783272
I3173,2,1224
I408,2,1783270
I525,2,1224
I167,2,1224
I3001,2,1224
I3870,2,1224
I764,2,1224
I2442,2,1783272
I1595,2,1783272
I3859,2,1224
I3444,2,1783272
I1030,2,1783272
I1844,2,1783272
I2330,2,1783272
I1018,2,1783272
I576,2,1783272
I1423,2,1224
I1444,2,29547
I3089,2,1783270
I1755,2,1783272
I1210,2,1783272
I3841,2,1783272
I1901,2,1783270
I1896,2,200940
I1770,2,1783272
I2003,2,1783272
I3965,2,1224
I2980,2,1783272
I2230,2,1783272
I54,2,1224
I1508,2,1783272
I1278,2,1783272
I2143,2,1783272
I1341,2,1224
I2717,2,1783272
I3523,2,1783272
I1640,2,1224
I3129,2,1783272
I3445,2,1783272
I3194,2,1224
I250,2,1783272
I3138,2,1783272
I654,2,1224
I3324,2,1783272
I1763,2,1783272
I3401,2,1783270
I484,2,1783272
I3072,2,1783270
I187,2,1783272
I352,2,1224
I925,2,1783272
I2830,2,1783272
I3534,2,1783270
I2699,2,200918
I3235,2,1783270
I3626,2,1783272
I1208,2,1783272
I3378,2,1783272
I1336,2,1224
I1351,2,1783272
I1672,2,1783272
I2833,2,1783272
I3197,2,1224
I3589,2,1783272
I3144,2,1783272
I3869,2,1224
I1449,2,1783272
I2522,2,1783272
I3258,2,1783270
I496,2,1224
I3126,2,1783272
I1150,2,1783272
I3686,2,1783272
I1085,2,1224
I2572,2,1783272
I1675,2,1783272
I3856,2,1224
I1282,2,200940
I3265,2,1783272
I3562,2,29547
I1702,2,1783272
I2486,2,200940
I3820,2,1783272
I2525,2,1783272
I4034,2,1224
I2837,2,1783272
I483,2,1783272
I590,2,1224
I157,2,1224
I1325,2,1783272
I2205,2,1783272
I606,2,1224
I4052,2,1224
I1849,2,1783272
I1396,2,1783272
I549,2,1224
I959,2,200930
I1075,2,1224
I1737,2,1783272
I1942,2,1783272
I1229,2,1224
I1952,2,1783272
I1983,2,1224
I3397,2,1783270
I275,2,1224
I367,2,1224
I1253,2,1783272
I2270,2,1783270
I1209,2,1783272
I454,2,1224
I1921,2,1783272
I3997,2,1224
I1138,2,1783272
I2070,2,200930
I690,2,1224
I190,2,1783272
I3171,2,1783272
I475,2,1224
I2835,2,1783272
I3880,2,1783272
I1596,2,1783272
I1414,2,1783272
I2063,2,1783270
I1536,2,1783270
I2619,2,1783272
I5,2,1224
I2681,2,200940
I3755,2,1783272
I2044,2,1783272
I337,2,1224
I1823,2,1783272
I25,2,1224
I1223,2,1783272
I1934,2,1783272
I2498,2,200918
I3151,2,1783272
I2566,2,1783272
I3383,2,1783272
I1845,2,1783272
I3714,2,1224
I530,2,1224
I795,2,1224
I2280,2,1783272
I608,2,1224
I2898,2,1783270
I2112,2,203691
I2515,2,1783272
I571,2,1224
I1617,2,2818505
I2311,2,1783272
I3282,2,1783272
I47,2,1783272
I347,2,1224
I780,2,2818505
I3835,2,1783272
I1893,2,200940
I4040,2,1224
I961,2,1783272
I566,2,1224
I2803,2,1224
I1795,2,1224
I1065,2,200930
I2601,2,1224
I1890,2,32066
I122,2,1224
I221,2,1224
I2829,2,1783272
I3321,2,1783272
I3901,2,1783272
I1970,2,1224
I3132,2,1783272
I4079,2,1224
I1020,2,1783272
I1781,2,1224
I2343,2,1783272
I3189,2,1224
I2073,2,200940
I2871,2,1783272
I223,2,1224
I499,2,1224
I3168,2,1783272
I137,2,1783257
I1071,2,1224
I2788,2,1224
I3480,2,1224
I4037,2,1224
I1361,2,1783272
I1599,2,1783272
I3275,2,1783272
I1453,2,1783272
I3900,2,1783272
I3948,2,1783272
I1607,2,1783272
I1701,2,1783272
I3257,2,1783270
I3399,2,1783270
I3587,2,1783272
I2381,2,1783272
I2137,2,1783272
I2167,2,1224
I3484,2,1224
I3147,2,1783272
I871,2,1224
I324,2,57723
I2450,2,1783272
I2743,2,1783272
I599,2,1783272
I3083,2,1783270
I1386,2,1783270
I2817,2,1783272
I3137,2,1783272
I3507,2,1783272
I3619,2,1783272
I75,2,1224
I2013,2,1783272
I2130,2,29547
I834,2,1783272
I867,2,1224
I14,2,1224
I3590,2,1783272
I767,2,1783272
I3556,2,1783272
I2173,2,1224
I2322,2,1783272
I3603,2,1224
I1307,2,1783272
I420,2,1224
I1805,2,1224
I1155,2,1783272
I449,2,1224
I119,2,1224
I1762,2,1783272
I3527,2,1783270
I954,2,1783272
I1010,2,1224
I1498,2,1783272
I1743,2,1783272
I2271,2,203691
I3284,2,1783272
I451,2,1224
I2826,2,1783272
I108,2,1224
I310,2,1783270
I1198,2,29547
I3276,2,1783272
I717,2,1224
I3483,2,1224
I2278,2,200940
I67,2,1783270
I3585,2,1783272
I757,2,1783272
I1935,2,1783272
I969,2,1224
I1388,2,1783270
I3733,2,1783272
I2657,2,1783272
I1419,2,1224
I2099,2,1783272
I2,2,1224
I1432,2,1783272
I2282,2,29547
I2535,2,1783272
I2643,2,1783272
I364,2,1224
I931,2,1783272
I2321,2,1783272
I1695,2,203691
I3998,2,1224
I802,2,1224
I139,2,1783272
I3889,2,1783272
I1302,2,1783272
I242,2,1783272
I26,2,1224
I1661,2,1783272
I3084,2,1783270
I3417,2,1783272
I3438,2,1783272
I3408,2,1783270
I729,2,1224
I3374,2,1783272
I672,2,1783272
I1255,2,1783272
I2914,2,1783272
I1161,2,1783270
I2559,2,1783272
I3601,2,1224
I2017,2,1783272
I2077,2,1783272
I2703,2,1783272
I335,2,1224
I1243,2,1783272
I1487,2,1224
I2674,2,1783270
I2720,2,1783272
I1637,2,1224
I152,2,1224
I755,2,1783272
I2606,2,1224
I770,2,1783272
I3033,2,1783272
I2944,2,1783272
I950,2,1783272
I53,2,1224
I612,2,1224
I1941,2,1783272
I995,2,1783270
I1420,2,1224
I2065,2,203691
I2111,2,1783272
I2545,2,1783272
I1149,2,1783272
I1916,2,1783272
I2663,2,1783270
I3513,2,1783272
I492,2,1783270
I1258,2,1783272
I3040,2,1783272
I3849,2,1783272
I1089,2,1224
I3185,2,1224
I2578,2,1224
I510,2,1224
I1924,2,1783272
I2557,2,1783272
I1093,2,1224
I1083,2,1224
I2769,2,1783272
I3015,2,1224
I3796,2,1224
I563,2,1224
I1790,2,1783272
I2484,2,200940
I2258,2,1783272
I2446,2,1783272
I1958,2,1783272
I2116,2,1783272
I3139,2,1783272
I3865,2,1224
I2408,2,1783272
I3052,2,1783272
I1411,2,68297
I3816,2,1783272
I2159,2,1783272
I2181,2,1224
I846,2,1783272
I1991,2,1224
I3646,2,1783272
I2068,2,203691
I4059,2,1224
I4082,2,1224
I391,2,1783272
I522,2,1224
I306,2,1224
I3387,2,1783272
I3415,2,1783272
I1373,2,1783272
I442,2,1224
I1741,2,1783272
I2688,2,200940
I1312,2,29547
I412,2,1224
I418,2,1224
I2883,2,1783270
I847,2,1224
I3487,2,1224
I2868,2,1783272
I696,2,1224
I1799,2,1224
I2701,2,1783272
I2314,2,1783272
I1309,2,29547
I4014,2,1224
I1173,2,508458
I3739,2,1783272
I1754,2,1783272
I1591,2,1783272
I299,2,1224
I1096,2,1783270
I215,2,1224
I1139,2,1783272
I1052,2,1783272
I670,2,1783272
I1008,2,1224
I1074,2,1224
I1710,2,32066
I529,2,1224
I1859,2,1783270
I3286,2,1783272
I2796,2,1224
I4046,2,1224
I489,2,1783272
I1911,2,1783272
I2239,2,1783272
I1084,2,1224
I2445,2,1783272
I3309,2,1783272
I94,2,1224
I677,2,1783272
I2008,2,1783272
I2390,2,1224
I2462,2,1783270
I268,2,1224
I2571,2,1783272
I2630,2,1783272
I3920,2,1783272
I3238,2,1783270
I2047,2,1783272
I684,2,1224
I537,2,1224
I1485,2,1224
I3848,2,1783272
I914,2,1783272
I1241,2,1783272
I2268,2,1783270
I2558,2,1783272
I2654,2,1783272
I1205,2,1783272
I2702,2,1783272
I1019,2,1783272
I462,2,1224
I3012,2,1224
I653,2,1224
I2349,2,1783272
I3376,2,1783272
I3163,2,1783272
I40,2,1224
I129,2,1224
I2660,2,1783272
I2658,2,1783272
I817,2,1783272
I1040,2,1783272
I2472,2,200940
I3939,2,1224
I637,2,1224
I737,2,1224
I1016,2,1783272
I3361,2,1783272
I706,2,1224
I97,2,1783272
I3872,2,1224
I3786,2,1224
I1567,2,1783272
I2891,2,1783272
I1834,2,1783272
I330,2,1224
I2016,2,1783272
I4065,2,1224
I387,2,1783270
I133,2,1783272
I683,2,1224
I1477,2,1224
I3753,2,1783270
I2165,2,1224
I2054,2,1783272
I1775,2,1783272
I928,2,1783272
I1578,2,1783272
I581,2,1783272
I3081,2,1783270
I1570,2,1783272
I2403,2,1783272
I2638,2,1783272
I1293,2,1224
I1057,2,1783272
I832,2,1224
I790,2,1224
I1792,2,1224
I592,2,1783270
I491,2,1224
I3300,2,1783272
I446,2,1224
I2323,2,1783272
I1951,2,1783272
I1347,2,1783272
I502,2,2138240
I1539,2,203691
I2650,2,1783272
I1581,2,1783272
I474,2,1224
I2336,2,1783272
I2090,2,200940
I2383,2,1224
I102,2,1224
I2934,2,1783272
I3368,2,1783272
I204,2,1224
I1111,2,1783272
I4055,2,1224
I984,2,1224
I813,2,1224
I1076,2,1224
I1367,2,1783272
I582,2,1783272
I2485,2,200940
I807,2,1224
I1764,2,1783272
I2855,2,1783272
I2456,2,1783270
I2394,2,1224
I2742,2,1783272
I239,2,1783270
I4031,2,1224
I1798,2,1224
I1451,2,1783272
I1810,2,1224
I2896,2,1783270
I23,2,1224
I2399,2,1224
I3448,2,1783272
I2736,2,1783272
I777,2,1224
I3511,2,1783272
I2697,2,200918
I2670,2,1783270
I3643,2,1783272
I3761,2,1783272
I763,2,1783272
I1771,2,1783272
I1222,2,1783272
I3063,2,1783272
I3288,2,1783272
I1218,2,1783272
I2926,2,1783272
I3088,2,1783270
I1565,2,1783272
I3558,2,1783272
I849,2,1224
I2620,2,1783272
I1224,2,1224
I3014,2,1224
I3410,2,1783270
I850,2,1783272
I1933,2,29547
I55,2,1224
I1793,2,1224
I2030,2,1783272
I1318,2,1783272
I651,2,1224
I1216,2,1783257
I3127,2,1783272
I1160,2,1783272
I2611,2,1783272
I1618,2,1224
I947,2,1783272
I471,2,1224
I2404,2,1783272
I3436,2,1783272
I3521,2,1783272
I2977,2,1783272
I605,2,1224
I1271,2,1783270
I1962,2,1783272
I305,2,1224
I2561,2,1783272
I1704,2,1783272
I779,2,1224
I1993,2,1224
I2315,2,1783272
I3232,2,1783272
I230,2,2818505
I3614,2,1224
I1298,2,1224
I113,2,1224
I2224,2,1783272
I429,2,1224
I1925,2,1783272
I2656,2,1783272
I1629,2,1224
I3710,2,1224
I3054,2,1783272
I3230,2,1783272
I3082,2,1783270
I3814,2,1783272
I3955,2,1783272
I3029,2,1783272
I1151,2,1783272
I3954,2,1783272
I436,2,1224
I600,2,1783270
I1450,2,1783272
I3571,2,1783272
I2004,2,1783272
I2262,2,1783270
I4080,2,1224
I1783,2,1224
I1540,2,203691
I2998,2,1224
I2214,2,1783272
I3892,2,1783272
I987,2,1224
I1404,2,32066
I70,2,1783272
I544,2,1224
I3873,2,1224
I1854,2,1783272
I1766,2,1783272
I2536,2,1783272
I1260,2,1783272
I2794,2,1224
I105,2,1224
I2984,2,1224
I2714,2,1783272
I3398,2,1783270
I2585,2,1224
I1007,2,1224
I2234,2,1783272
I423,2,1224
I682,2,1224
I1787,2,1224
I3370,2,1783272
I2960,2,1783272
I3963,2,1224
I4033,2,1224
I2488,2,1783270
I394,2,1783272
I1638,2,1224
I3628,2,1783272
I1447,2,1783272
I2191,2,1224
I831,2,1224
I2890,2,200940
I539,2,1224
I916,2,1224
I3116,2,1783272
I3136,2,1783272
I1357,2,1783272
I2289,2,200940
I259,2,1783270
I1331,2,1224
I1335,2,1224
I3971,2,1783272
I631,2,1224
I3793,2,1224
I3175,2,1224
I3396,2,1783270
I2105,2,1783272
I948,2,1783272
I3429,2,1783272
I1296,2,1224
I2804,2,1224
I263,2,1224
I1726,2,1783272
I3363,2,1783272
I1265,2,1783270
I964,2,1224
I2014,2,1783272
I2287,2,200940
I768,2,1783272
I1455,2,1783272
I3492,2,1224
I2664,2,1783270
I397,2,1783272
I2757,2,1783272
I3879,2,1783272
I1127,2,1783272
I142,2,2138240
I2853,2,1783272
I569,2,1224
I3125,2,1783272
I3502,2,1783272
I3910,2,1224
I2266,2,1783270
I1623,2,1224
I1728,2,1783272
I3449,2,1783272
I3567,2,1783272
I2233,2,1783272
I2617,2,1783272
I2738,2,1783272
I3808,2,1224
I388,2,1783257
I1891,2,32066
I3902,2,1783272
I1758,2,1783272
I2067,2,203691
I2124,2,1783272
I2731,2,1783272
I2679,2,200940
I1340,2,1224
I251,2,1783272
I2379,2,1224
I2843,2,1783272
I3351,2,1224
I1126,2,1783257
I59,2,1224
I360,2,1224
I3426,2,1783272
I3664,2,1783272
I2084,2,32066
I1014,2,1783272
I1294,2,1224
I3347,2,1224
I727,2,1224
I691,2,1783270
I3158,2,1783272
I1580,2,1783272
I3422,2,1783272
I1514,2,1783272
I2207,2,1783272
I1692,2,1783270
I2581,2,1783272
I1662,2,1783272
I2687,2,200940
I705,2,1224
I1163,2,1783270
I1946,2,1783272
I1848,2,1783272
I1708,2,29547
I453,2,1224
I1398,2,1783272
I2290,2,200940
I3169,2,1783272
I1169,2,1783272
I3060,2,1783272
I1069,2,1783272
I3725,2,1224
I1639,2,1224
I220,2,1224
I564,2,1224
I2228,2,1783272
I2600,2,1224
I2932,2,1783272
I432,2,1224
I3130,2,1783272
I2308,2,1783272
I3979,2,1224
I125,2,1224
I2875,2,1783272
I513,2,1224
I616,2,1224
I1203,2,1783272
I3099,2,1783272
I1984,2,1224
I2196,2,1224
I2634,2,1783272
I2470,2,200940
I3899,2,1783272
I2421,2,1783272
I1974,2,2818505
I2138,2,1783272
I3231,2,1783272
I1088,2,1224
I3167,2,1783272
I3304,2,1783272
I3011,2,1224
I3006,2,1224
I2751,2,1783272
I902,2,1783272
I1176,2,1783272
I3425,2,1783272
I603,2,1224
I2048,2,1783272
I1978,2,1224
I450,2,1224
I2348,2,1783272
I2255,2,1783272
I3943,2,1224
I1529,2,1783272
I2594,2,1224
I2393,2,1224
I981,2,1224
I240,2,1783272
I2176,2,1224
I3538,2,1783272
I3233,2,1783272
I3369,2,1783272
I1469,2,1224
I2482,2,200940
I3362,2,1783272
I911,2,1783272
I1992,2,1224
I3973,2,1783272
I3631,2,1783272
I2943,2,1783272
I633,2,1224
I284,2,1224
I1364,2,1783272
I213,2,1224
I2439,2,1783272
I2402,2,1783272
I3249,2,1783270
I1579,2,1783272
I3528,2,1783270
I3080,2,1783272
I3555,2,1783272
I3181,2,1224
I1456,2,1783272
I3,2,2138240
I425,2,1224
I3699,2,1783272
I2613,2,1783272
I3367,2,1783272
I2524,2,1783272
I965,2,1224
I3358,2,1224
I628,2,1224
I750,2,1783257
I2797,2,1224
I3267,2,1783272
I3332,2,1783272
I3683,2,1783272
I3999,2,1224
I3032,2,1783272
I997,2,1783272
I1148,2,1783272
I1920,2,1783272
I1196,2,1783272
I2018,2,1783272
I2964,2,1783272
I3509,2,1783272
I1236,2,1783272
I2056,2,1783270
I1723,2,1783272
I1635,2,1224
I2079,2,29547
I2975,2,1783272
I2414,2,1783272
I2750,2,1783272
I1725,2,1783272
I79,2,1224
I141,2,1783272
I1333,2,1224
I2549,2,1783272
I401,2,1783272
I2158,2,1783272
I2423,2,1783272
I2284,2,32066
I216,2,1224
I2640,2,1783272
I1267,2,1783270
I2319,2,1783272
I3325,2,1783272
I3572,2,1783272
I4009,2,1224
I3636,2,1783272
I1651,2,1783272
I2281,2,1783272
I3996,2,1224
I3887,2,1783272
I248,2,1783257
I1835,2,1783272
I843,2,203691
I1365,2,1783272
I1773,2,1783272
I447,2,1224
I960,2,32066
I996,2,1783272
I3087,2,1783270
I155,2,1224
I3355,2,1224
I650,2,1224
I1556,2,200940
I1136,2,1224
I3991,2,1783272
I2901,2,1783270
I1140,2,1783272
I963,2,1224
I1910,2,1783272
I2337,2,1783272
I3744,2,1783272
I2118,2,1783272
I109,2,1224
I1125,2,1783257
I4070,2,1224
I1006,2,1224
I1382,2,1783270
I594,2,1224
I1158,2,1783270
I2096,2,1783270
I2305,2,1783272
I3908,2,1224
I2175,2,1224
I1605,2,1783272
I469,2,1224
I1535,2,1783270
I2508,2,1783272
I3279,2,1783272
I3953,2,1783272
I2851,2,1783272
I2269,2,1783270
I2740,2,1783272
I3512,2,1783272
I2422,2,1783272
I2574,2,1224
I1175,2,1783272
I734,2,1224
I707,2,1224
I3253,2,1783270
I1913,2,1783272
I365,2,1224
I648,2,1224
I3002,2,1224
I3477,2,1783272
I1171,2,32066
I322,2,1783272
I2569,2,1783272
I2777,2,1783272
I1313,2,29547
I2897,2,1783270
I325,2,1224
I848,2,1224
I3977,2,1783272
I739,2,1783272
I1042,2,1783272
I2339,2,1783272
I520,2,1224
I3419,2,1783272
I1344,2,1224
I3774,2,1783272
I357,2,1224
I2935,2,1783272
I4077,2,1224
I560,2,1224
I3223,2,1783272
I2155,2,1783272
I3186,2,1224
I3553,2,1783272
I1199,2,29547
I81,2,1224
I1674,2,1783272
I2034,2,1783272
I4042,2,1224
I236,2,1783270
I2523,2,1783272
I885,2,1224
I572,2,1224
I2331,2,1783272
I1304,2,1783272
I63,2,1224
I1886,2,29547
I2475,2,1783272
I1714,2,200940
I1727,2,200918
I3316,2,1783272
I3458,2,1783272
I371,2,1224
I3798,2,1224
I3758,2,29547
I2748,2,1783272
I3380,2,1783272
I3198,2,1224
I404,2,1783272
I640,2,1224
I2481,2,32066
I1789,2,1783272
I2931,2,1783272
I2195,2,1224
I1740,2,1783272
I733,2,1224
I2982,2,1224
I3680,2,1783272
I2647,2,1783272
I2480,2,32066
I2614,2,1783272
I731,2,1224
I338,2,1224
I2629,2,1783272
I3938,2,1224
I3293,2,1783272
I3897,2,1783272
I2587,2,1224
I2398,2,1224
I3424,2,1783272
I2925,2,1783272
I1417,2,1783272
I3951,2,1783272
I1588,2,29547
I1094,2,1224
I2577,2,1224
I3685,2,1783272
I769,2,1783272
I3946,2,1224
I3320,2,1783272
I1291,2,1224
I350,2,1224
I1349,2,1224
I2198,2,1224
I2602,2,1224
I3182,2,1224
I282,2,1224
I1023,2,1783272
I4075,2,1224
I2551,2,1783272
I1172,2,200940
I3441,2,1783272
I1966,2,1224
I114,2,1224
I1982,2,1224
I1497,2,1783272
I2666,2,1783270
I2160,2,1783272
I2009,2,1783272
I1832,2,1783272
I883,2,1224
I1266,2,1783270
I1320,2,1783272
I3224,2,1783272
I169,2,1224
I1381,2,1783270
I2231,2,1783272
I3697,2,1783272
I3795,2,1224
I3681,2,1783272
I3051,2,1783272
I3090,2,1783270
I428,2,1224
I461,2,1224
I368,2,1224
I742,2,1783272
I1227,2,1224
I1843,2,1783272
I1501,2,1783272
I2363,2,1783272
I3632,2,1783272
I2933,2,1783272
I3715,2,1224
I2929,2,1783272
I168,2,1224
I2417,2,1783272
I1474,2,1224
I3988,2,1783272
I3227,2,1783272
I16,2,1224
I2846,2,1783272
I884,2,1224
I1524,2,1783272
I39,2,1224
I2248,2,1783272
I2711,2,1783272
I1512,2,1783272
I146,2,1224
I2680,2,200940
I3909,2,1224
I1098,2,1783272
I3622,2,1783272
I1059,2,1783270
I2502,2,1783272
I2489,2,1783270
I276,2,1224
I2792,2,1224
I2972,2,1783272
I136,2,1783272
I3602,2,1224
I1132,2,1224
I619,2,1224
I1988,2,1224
I2884,2,1783270
I2232,2,1783272
I3561,2,29547
I3789,2,1224
I121,2,1224
I254,2,1224
I1215,2,1783257
I373,2,1224
I2328,2,1783272
I2946,2,1783272
I979,2,1224
I862,2,1224
I740,2,1783272
I1446,2,1783272
I198,2,1224
I495,2,1224
I147,2,1224
I3310,2,1783272
I433,2,1224
I1511,2,1783272
I1853,2,1783272
I1964,2,1224
I2397,2,1224
I3273,2,1783272
I3201,2,1224
I3840,2,1783272
I861,2,32066
I3921,2,1783272
I4074,2,1224
I1129,2,1783272
I2274,2,203691
I1869,2,1783270
I2779,2,1224
I2783,2,1224
I554,2,1224
I3024,2,1783272
I1026,2,1783257
I2347,2,1783272
I2386,2,1224
I212,2,1224
I573,2,1224
I1522,2,1783272
I2362,2,1783272
I3860,2,1224
I1319,2,1783272
I3162,2,1783272
I2516,2,1783272
I1287,2,1783272
I3202,2,1783272
I342,2,1224
I2810,2,1224
I922,2,1783272
I2376,2,1224
I2387,2,1224
I2427,2,1783272
I1188,2,1224
I975,2,1224
I868,2,1224
I2712,2,1783272
I3486,2,1224
I1963,2,1224
I2438,2,1783272
I3853,2,1224
I578,2,1783272
I3904,2,1224
I1393,2,203691
I3430,2,1783272
I2669,2,1783270
